Nombre,Institución,Dependencia,Género,Entidad
Dominguez Del Angel Victoria Fabia,Colegio de Postgraduados,Colegio de Postgraduados,Femenino,Campeche
Domínguez Juarez Jorge Luis,Universidad Nacional Autónoma de México,Centro de Física Aplicada y Tecnología Avanzada,Masculino,Querétaro
Domínguez Martínez Tecelli,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,Femenino,Distrito Federal
Domínguez Pérez Luis Julian,"Centro de Investigación en Matemáticas, A.C.",CIMAT Zacatecas,Masculino,Zacatecas
Donoso Jiménez Javiera,Universidad Autónoma de Guerrero,Facultad de Ingeniería,Femenino,Guerrero
Dor  Ariane Liliane Jeanne,El Colegio de la Frontera Sur,Unidad Tapachula,Femenino,Chiapas
Dorantes Jiménez Jaime,Colegio de Postgraduados,Campus Campeche,Masculino,Campeche
Douterlungne Rotsaert David,"Instituto Potosino de Investigación Cientifica y Tecnológica, A.C.",Depto. de Biología Molecular,Masculino,San Luis Potosí
Duarte  Andrés Daniel,Universidad Autónoma de Zacatecas,Unidad Académica de Matemáticas,Masculino,Zacatecas
Duarte Cruz José María,El Colegio de la Frontera Sur,Unidad Tapachula,Masculino,Chiapas
Duarte Villaseñor Miguel,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Tijuana,Masculino,Baja California
Duran Sánchez Manuel,Instituto Nacional de Astrofísica Óptica y Electrónica,Área de Electrónica,Masculino,Puebla
Dzul Erosa Mercy Sugey,Universidad de Guanajuato,Campus León,Femenino,Guanajuato
Elizondo Cordero Alejandra,"Centro de Investigación y Docencia Económicas, A.C.",Depto. de Administración Pública,Femenino,Distrito Federal
Elizondo Quiroga Armando,Instituto Nacional de Salud Pública,Instituto Nacional de Salud Pública,Masculino,Chiapas
Enríquez Valencia Raúl,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Oaxaca,Masculino,Oaxaca
Escalera Vazquez Luis Humberto,Universidad Michoacana de San Nicolás de Hidalgo,Instituto de Investigaciones Sobre los Recursos Naturales,Masculino,Michoacán
Escobar Morales Beatriz,"Centro de Investigación Científica de Yucatán, A.C.",Unidad de Ciencias del Agua,Femenino,Yucatán
Escobar Sánchez Ofelia,Universidad Autónoma de Sinaloa,Escuela de Ciencias Del Mar,Femenino,Sinaloa
Escobedo Fregoso Cristina,"Centro de Investigaciones Biológicas del Noroeste, S.C.",Programa de Acuicultura y Biotecnología Marina,Femenino,Baja California Sur
Escorcia García José,Centro de Investigación y de Estudios Avanzados del IPN,Unidad Saltillo,Masculino,Coahuila
Espejel Garcia Anastacio,Universidad Autónoma Chapingo,Universidad Autónoma Chapingo,Masculino,México
Espindola Mata Juan,"Centro de Investigación y Docencia Económicas, A.C.",Secretaría Académica,Masculino,Distrito Federal
Espinosa Chaurand Luis Daniel,"Centro de Investigaciones Biológicas del Noroeste, S.C.",Unidad Nayarit,Masculino,Nayarit
Espinosa Guzmán Alberto Antonio,Universidad Autónoma de Campeche,Centro de Estudios de Desarrollo Sustentable y de Aprovechamiento,Masculino,Campeche
Espinosa Marquez Araceli,Centro de Investigación y Estudios Superiores en Antropología Social,Unidad Occidente,Femenino,Jalisco
Espinoza Ojeda Orlando Miguel,Universidad Michoacana de San Nicolás de Hidalgo,Instituto de Investigaciones Metalúrgicas,Masculino,Michoacán
Esquivel González Reynaldo,Universidad de Sonora,Dirección de Investigación y Posgrado,Masculino,Sonora
Esquivel Prado Pedro,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de La Laguna,Masculino,Coahuila
Estrada Moreno Ivan Alziri,"Centro de Investigación en Materiales Avanzados, S.C.",Depto. de Metalurgia,Masculino,Chihuahua
Estrada Muñoz Norma Angélica,"Centro de Investigaciones Biológicas del Noroeste, S.C.",Programa de Acuicultura y Biotecnología Marina,Femenino,Baja California Sur
Estrada Torres José Antonio,Centro de Ingeniería y Desarrollo Industrial,Dirección de Investigación y Posgrado,Masculino,Querétaro
Fabela Morón Miriam Fabiola,Centro de Investigación y Asistencia en Tecnología y Diseño del Edo. de Jalisco,División de Biotecnología,Femenino,Yucatán
Falfan Cortes Reyna Nallely,Universidad Autónoma Del Estado de Hidalgo,Centro de Investigaciones Biológicas,Femenino,Hidalgo
Faustino Vega Abraham,Universidad Autónoma Metropolitana,Unidad Xochimilco,Masculino,Distrito Federal
Fernández Herrera María Antonieta,Centro de Investigación y de Estudios Avanzados del IPN,Unidad Mérida,Femenino,Yucatán
Fernandez Valverde Selene Lizbeth,Centro de Investigación y de Estudios Avanzados del IPN,Centro de Investigación y de Estudios Avanzados del IPN,Femenino,Guanajuato
Ferreira De Loza Dolores Alejandra,Instituto Politécnico Nacional,Centro de Investigación y Desarrollo de Tecnología Digital,Femenino,Baja California
Figueroa González Gabriela,Instituto Nacional de Cancerología,Instituto Nacional de Cancerología,Femenino,Distrito Federal
Figueroa Hernández Claudia,Centro de Investigación y Asistencia en Tecnología y Diseño del Edo. de Jalisco,División de Biotecnología,Femenino,Yucatán
Figueroa Lara Aldo,Universidad Autónoma Del Estado de Morelos,Centro de Investigaciones Químicas,Masculino,Morelos
Figueroa Martinez Francisco Javier,Universidad Autónoma Metropolitana,Division de Ciencias Biológicas y de la Salud. Iztapalapa,Masculino,Distrito Federal
Figueroa Ortiz Carlos Obed,Universidad de Guadalajara,Centro Universitario de Ciencias Económico Administrativas,Masculino,Jalisco
Figueroa Romeo Dolores,Centro de Investigación y Estudios Superiores en Antropología Social,Unidad - D.F.,Femenino,Distrito Federal
Fimbres Weihs Gustavo Adolfo,Instituto Tecnológico de Sonora,Dirección de la Division de Recursos Naturales,Masculino,Sonora
Flores Cuautle Jose De Jesus Agutin,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Orizaba,Masculino,Veracruz
Flores Johnson Emmanuel Alejandro,"Centro de Investigación Científica de Yucatán, A.C.",Dirección General,Masculino,Yucatán
Flores Ramirez Rogelio,Universidad Autónoma de San Luis Potosí,Coordinación para la Innovación y Aplicación de la Ciencia,Masculino,San Luis Potosí
Flores Ramos Monica,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,Femenino,Distrito Federal
Flores Romero Erick,Universidad Nacional Autónoma de México,Instituto de Física,Masculino,Distrito Federal
Flores Vichi Felipe,Instituto Politécnico Nacional,Centro Interdisciplinario de Inv. para el Desarrollo..Ciidir,Masculino,Durango
Flota Bañuelos Carolina,Colegio de Postgraduados,Campus Campeche,Femenino,Campeche
Fragoso Lugo Perla Orquídea,Universidad de Ciencias y Artes de Chiapas,Centro de Estudios Superiores México-Centroamérica,Femenino,Chiapas
Franco Urquiza Edgar Adrian,Centro de Ingeniería y Desarrollo Industrial,Dirección de Investigación y Posgrado,Masculino,Querétaro
Fresneda Camacho Edel José,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Cancún,Masculino,Quintana Roo
Fuentes Miranda Carlos Jorge,Universidad Autónoma de Guerrero,Escuela de Ciencias Químicas y Biológicas,Masculino,Guerrero
Fuerte Celis Maria Del Pilar,"Centro de Investigación en Geografía y Geomática Ing. Jorge L. Tamayo, A.C.","Centro de Investigación en Geografía y Geomática Ing. Jorge L. Tamayo, A.C.",Femenino,Aguascalientes
Galindo González María Del Rosario,Universidad de Guanajuato,Campus León,Femenino,Guanajuato
Gallegos Ruiz Homero Renato,Universidad Autónoma de Zacatecas,Unidad Académica de Matemáticas,Masculino,Zacatecas
Gálvez Hernández Carmen Lizette,Instituto Nacional de Cancerología,Instituto Nacional de Cancerología,Femenino,Distrito Federal
Gamboa Martinez Gabriel Ulises,Universidad Autónoma de San Luis Potosí,Facultad de Ciencias Químicas,Masculino,San Luis Potosí
Garcia Arellano Anmi,El Colegio de la Frontera Sur,Unidad Chetumal,Masculino,Quintana Roo
García Aspeitia Miguel Ángel,Universidad Autónoma de Zacatecas,Unidad Académica de Física,Masculino,Zacatecas
Garcia Becerra Flor Yunuen,Universidad Autónoma Metropolitana,Unidad Cuajimalpa,Femenino,Distrito Federal
García Castañeda María Concepción,Universidad de Guanajuato,Campus Guanajuato,Femenino,Guanajuato
Garcia Castro Neftali,Universidad Autónoma de Guerrero,Unidad de Ciencias de Desarrollo Regional,Masculino,Guerrero
García Chávez Ricardo,Instituto Mexicano del Petróleo,"Dirección Regional Sur ( Villahermosa, Tab. )",Masculino,Tabasco
Garcia Colin Natalia,Fondo de Información y Documentación para la Industria,Fondo de Información y Documentación para la Industria,Femenino,Aguascalientes
García Cornejo Parménides,Universidad Nacional Autónoma de México,Instituto de Matemáticas,Masculino,Oaxaca
Garcia Galván Rodolfo,Universidad Autónoma de Baja California,Coordinación de Posgrado e Investigación,Masculino,Baja California
García García Maritza Roxana,Universidad Nacional Autónoma de México,Centro de Nanociencias y Nanotecnología,Femenino,Baja California
Garcia Hernandez Nadia Vanessa,Centro de Investigación y de Estudios Avanzados del IPN,Unidad Saltillo,Femenino,Coahuila
García López Edgar,Universidad Del Papaloapan,Campus Tuxtepec,Masculino,Oaxaca
García Maldonado José Quinatzin,Centro de Investigación y de Estudios Avanzados del IPN,Unidad Mérida,Masculino,Yucatán
Garcia Morales Ricardo,"Centro de Investigaciones Biológicas del Noroeste, S.C.",Unidad Nayarit,Masculino,Nayarit
García Ortíz César Eduardo,"Centro de Investigación Científica y de Educación Superior de Ensenada, B.C.","Centro de Investigación Científica y de Educación Superior de Ensenada, B.C.",Masculino,Baja California
García Regalado Alejandro,Universidad Autónoma de San Luis Potosí,Coordinación para la Innovación y Aplicación de la Ciencia,Masculino,San Luis Potosí
Garcia Rivera Enoc Alejandro,Universidad Autónoma de Tamaulipas,Unidad Académica Multidisciplinaria Reynosa-Rodhe,Masculino,Tamaulipas
Garcia Uriostegui Lorena,Universidad de Guadalajara,Centro Universitario de Ciencias Exactas e Ingenierías,Femenino,Jalisco
García Viveros Héctor,Universidad Nacional Autónoma de México,Instituto de Energías Renovables,Masculino,Morelos
Garduño Vértiz Salvador Ivan,Centro de Investigación y de Estudios Avanzados del IPN,Dirección General,Masculino,Distrito Federal
Garduño Wilches Ismael Arturo,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Chihuahua,Masculino,Chihuahua
Garibay Cerdenares Olga Lilia,Universidad Autónoma de Guerrero,Escuela de Ciencias Químicas y Biológicas,Femenino,Guerrero
Garrido De Sierra Sebastián,"Centro de Investigación y Docencia Económicas, A.C.",Secretaría Académica,Masculino,Distrito Federal
Garruña Hernández René,Tecnológico Nacional de México (DGEST),Instituto Tecnológico Agropecuario No. 2 Conkal Yucatán,Masculino,Yucatán
Garza Lagler Maria Cristina,Universidad Nacional Autónoma de México,Facultad de Ciencias,Femenino,Yucatán
Garza Villarreal Eduardo Adrian,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,Masculino,Distrito Federal
Gastélum Acuña Sandra Luz,Universidad de Sonora,Dirección de Investigación y Posgrado,Femenino,Sonora
Gastelum Chavira Diego Alonso,Universidad de Occidente,Unidad Culiacán,Masculino,Sinaloa
Gil Chavarria Margarita Ivet,Universidad Nacional Autónoma de México,Facultad de Medicina,Femenino,Distrito Federal
Giraldo Palacio Omar Felipe,El Colegio de la Frontera Sur,Unidad Tapachula,Masculino,Chiapas
Gomez Aguilar Jose Francisco,Tecnológico Nacional de México (DGEST),Centro Nacional de Investigación y Desarrollo Tecnológico,Masculino,Morelos
Gómez Aguirre Yenny Adriana,Universidad Autónoma de Aguascalientes,Centro de Ciencias Básicas,Femenino,Aguascalientes
Gómez Arias Efrain,"Centro de Investigación Científica y de Educación Superior de Ensenada, B.C.","Centro de Investigación Científica y de Educación Superior de Ensenada, B.C.",Masculino,Baja California
Gómez Bonilla Adriana Petrovna,"El Colegio de Michoacán, A.C.",Centro de Estudios Antropológicos,Femenino,Michoacán
Gómez De Jesús Adrián,Universidad Autónoma de Chiapas,Universidad Autónoma de Chiapas,Masculino,Chiapas
Gómez Hernández Marko Aurelio,Instituto Politécnico Nacional,Centro Interdisciplinario de Inv. para el Desarrollo..Ciidir,Masculino,Oaxaca
Gomez Ruiz Arturo Ivan,Instituto Nacional de Astrofísica Óptica y Electrónica,Área de Electrónica,Masculino,Puebla
Gómez San Luis Anel Hortensia,Universidad Autónoma de Tamaulipas,Unidad Académica Multidisciplinaria Reynosa-Rodhe,Femenino,Tamaulipas
González Albarrán Marco Aurelio,Universidad de Guadalajara,Centro Universitario de Ciencias Exactas e Ingenierías,Masculino,Jalisco
González Bernal Edna Leticia,Instituto Politécnico Nacional,Centro Interdisciplinario de Inv. para el Desarrollo..Ciidir,Femenino,Oaxaca
González Calderón José Alfredo,Centro de Ingeniería y Desarrollo Industrial,Posgrado Interinstitucional en Ciencia y Tecnología,Masculino,Campeche
González Contreras Gabriel,Universidad Autónoma de San Luis Potosí,Coordinación para la Innovación y Aplicación de la Ciencia,Masculino,San Luis Potosí
González Díaz Maria Ortencia,"Centro de Investigación Científica de Yucatán, A.C.",Unidad de Ciencias del Agua,Femenino,Yucatán
González Gallegos Jesús Guadalupe,Instituto Politécnico Nacional,Centro Interdisciplinario de Inv. para el Desarrollo..Ciidir,Masculino,Durango
Gonzalez Garcia Luis Miguel,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Durango,Masculino,Durango
González García Mario Arturo,Universidad Autónoma de San Luis Potosí,Coordinación para la Innovación y Aplicación de la Ciencia,Masculino,San Luis Potosí
González García Pedro,Centro de Ingeniería y Desarrollo Industrial,Dirección de Investigación y Posgrado,Masculino,Querétaro
González Gómez Rebeca,El Colegio de la Frontera Sur,Unidad Tapachula,Femenino,Chiapas
González Juárez Daphne Edith,"Instituto Potosino de Investigación Cientifica y Tecnológica, A.C.",DEPTO. de BIOLOGIA MOLECULAR,Femenino,San Luis Potosí
González López Marco Antonio,Universidad Autónoma Metropolitana,Unidad Xochimilco,Masculino,Distrito Federal
González Méndez Luis Xavier,Universidad Nacional Autónoma de México,Instituto de Geofísica,Masculino,Michoacán
González Montiel Marlene,Instituto Politécnico Nacional,Centro de Investigación en Ciencia Aplicada y Tecnología Avanzada del IPN,Femenino,Distrito Federal
González Morales Alma Xochitl,Universidad de Guanajuato,Campus León,Femenino,Guanajuato
González Morales Susana,Universidad Autónoma Agraria Antonio Narro,Subdirección de Asuntos de Postgrado,Femenino,Coahuila
González Ramirez Laura,Universidad Michoacana de San Nicolás de Hidalgo,Instituto de Física y Matemática,Femenino,Michoacán
González Sánchez David,Universidad de Sonora,Dirección de Investigación y Posgrado,Masculino,Sonora
González Tokman Daniel Matias,"Instituto de Ecología, A.C.",Área de Vegetación y Flora,Masculino,Veracruz
González Zaragoza Clementina,Universidad Michoacana de San Nicolás de Hidalgo,Instituto de Investigaciones Sobre los Recursos Naturales,Femenino,Michoacán
Graff Guerrero Mario,Fondo de Información y Documentación para la Industria,Fondo de Información y Documentación para la Industria,Masculino,Aguascalientes
Granados Echegoyen Carlos,Universidad Autónoma de Campeche,Centro de Estudios de Desarrollo Sustentable y de Aprovechamiento,Masculino,Campeche
Grijalva Castillo María Cristina,"Centro de Investigación en Materiales Avanzados, S.C.",Depto. de Energías Renovables y Protección del Medio Ambiente,Femenino,Chihuahua
Grijalva Eternod Aurea Esther,Universidad de Guadalajara,Centro Universitario de Ciencias Económico Administrativas,Femenino,Jalisco
Guadarrama Bustos Lili,"Centro de Investigación en Matemáticas, A.C.",CIMAT Aguascalientes,Femenino,Aguascalientes
Guardiola Avila Iliana Berenice,Instituto Politécnico Nacional,Centro de Biotecnología Genómica,Femenino,Tamaulipas
Guarneros Aguilar Cesia,Instituto Politécnico Nacional,Centro de Investigación en Ciencia Aplicada y Tecnología Avanzada del IPN,Femenino,Tamaulipas
Guerra Blanco Edgar Everardo,"Centro de Investigación y Docencia Económicas, A.C.",Secretaría Académica,Masculino,Aguascalientes
Guerrero García Guillermo Ivan,Universidad Autónoma de San Luis Potosí,Coordinación para la Innovación y Aplicación de la Ciencia,Masculino,San Luis Potosí
Guerrero Sánchez Carlos Antioco,Centro de Investigación y de Estudios Avanzados del IPN,Unidad Mérida,Masculino,Yucatán
Guevara García Alfredo Augusto,Universidad Autónoma Metropolitana,Unidad Xochimilco,Masculino,Distrito Federal
Guillén Rodríguez Susana,Universidad Autónoma de Tlaxcala,Centro de Investigación en Ciencias Biológicas,Femenino,Tlaxcala
Guiza Valverde Frida Nadiezda,Universidad Nacional Autónoma de México,Centro de Investigaciones en Geografía Ambiental,Femenino,Michoacán
Gutiérrez Cabrera Ana Erika,Instituto Nacional de Salud Pública,Centro de Investigaciones Sobre Enfermedades Infecciosas,Femenino,Morelos
Gutiérrez Castañeda Emmanuel José,Universidad Autónoma de San Luis Potosí,Coordinación para la Innovación y Aplicación de la Ciencia,Masculino,San Luis Potosí
Gutiérrez Hoya Adriana,Universidad Nacional Autónoma de México,Facultad de Estudios Superiores Zaragoza,Femenino,Distrito Federal
Gutiérrez Jurado Hugo Alberto,Universidad Nacional Autónoma de México,Instituto de Ingeniería,Masculino,Yucatán
Gutiérrez Velasco Mario Ibrahín,Instituto Nacional de Rehabilitación,Instituto Nacional de Rehabilitación,Masculino,Distrito Federal
Guzmán Flores Isidro,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Aguascalientes,Masculino,Aguascalientes
Guzman Gutiérrez Silvia Laura,Universidad Nacional Autónoma de México,Instituto de Investigaciones Biomédicas,Femenino,Distrito Federal
Guzmán Olea Eduardo,Universidad Autónoma Del Estado de Hidalgo,Parque Científico y Tecnológico,Masculino,Hidalgo
Guzmán Ortiz Fabiola Araceli,Universidad Autónoma Del Estado de Hidalgo,Centro de Investigaciones Biológicas,Femenino,Hidalgo
Haro Alvarez Ana Paulina,Universidad Autónoma de Yucatán,Centro de Investigaciones Regionales Dr. Hideyo Noguchi,Femenino,Yucatán
Heredia De La Cruz Iván,Centro de Investigación y de Estudios Avanzados del IPN,Dirección General,Masculino,Distrito Federal
Heredia Nava Darwin,Universidad de Guadalajara,Centro Universitario de Los Altos,Masculino,Jalisco
Hernández Baltazar Daniel,Universidad Veracruzana,Instituto de Investigaciones Historico-Sociales,Masculino,Veracruz
Hernández Bocanegra Constantin Alberto,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Morelia,Masculino,Michoacán
Hernández Castillo Carlos Roberto,Universidad Veracruzana,Instituto de Investigaciones Historico-Sociales,Masculino,Veracruz
Hernández Castillo José Jaime,"Centro de Investigación en Matemáticas, A.C.",CIMAT Monterrey,Masculino,Nuevo León
Hernández Diego Celia,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Cancún,Femenino,Quintana Roo
Hernández Domínguez Eric,"Instituto de Ecología, A.C.","Instituto de Ecología, A.C.",Masculino,Veracruz
Hernández Eligio José Alberto,Universidad Nacional Autónoma de México,Instituto de Biotecnología,Masculino,Morelos
Hernández Flores Jose Alvaro,"El Colegio de México, A.C.",Centro de Estudios Demográficos y de Desarrollo Urbano,Masculino,Distrito Federal
Hernández Gámez José Francisco,Centro de Investigación en Química Aplicada,Depto. de Procesos de Polimerización,Masculino,Coahuila
Hernández García José Luis,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Nuevo León,Masculino,Nuevo León
Hernández García Juan Carlos,Universidad de Guanajuato,Campus León,Masculino,Guanajuato
Hernández Gordillo Agileo,Universidad Nacional Autónoma de México,Instituto de Investigaciones en Materiales,Masculino,Distrito Federal
Hernández Gracidas Carlos Arturo,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Cd. Victoria,Masculino,Tamaulipas
Hernández Guzmán Rafael,Universidad Michoacana de San Nicolás de Hidalgo,Instituto de Investigaciones Sobre los Recursos Naturales,Masculino,Michoacán
Hernández Hernández Ernesto,Centro de Investigación en Química Aplicada,Depto. de Materiales Avanzados,Masculino,Coahuila
Hernández Hernández Olivia Tania,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,Femenino,Distrito Federal
Hernandez Lopez Ana Gabriela,"El Colegio de la Frontera Norte, A.C.",Dirección General Académica,Femenino,Baja California
Hernández López Francisco Javier,"Centro de Investigación en Matemáticas, A.C.",CIMAT Mérida,Masculino,Yucatán
Hernández Martínez Ricardo,Instituto Tecnológico Superior de Tierra Blanca,Instituto Tecnológico Superior de Tierra Blanca,Masculino,Veracruz
Hernández Mendoza Christian Eduardo,Universidad Autónoma de Querétaro,Facultad de Ingeniería,Masculino,Querétaro
Hernández Nuñez Emanuel,Centro de Investigación y de Estudios Avanzados del IPN,Unidad Mérida,Masculino,Yucatán
Hernández Oñate Miguel Angel,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Dirección de Tecnología de Alimentos de Origen Animal,Masculino,Sonora
Hernández Rivera Jose Luis,Universidad Autónoma de San Luis Potosí,Coordinación para la Innovación y Aplicación de la Ciencia,Masculino,San Luis Potosí
Hernández Robles Ivan Abel,"CIATEQ, A.C. Centro de Tecnología Avanzada (CIATEQ)","CIATEQ, A.C. Centro de Tecnología Avanzada (CIATEQ)",Masculino,San Luis Potosí
Hernández Romano Iván,Universidad de Guanajuato,Campus Guanajuato,Masculino,Guanajuato
Hernández Rosales Maribel,Universidad Nacional Autónoma de México,Instituto de Matemáticas,Femenino,Querétaro
Hernández Utrera Oscar,Universidad Nacional Autónoma de México,Centro de Nanociencias y Nanotecnología,Masculino,Baja California
Hernández Wong Joel,Instituto Politécnico Nacional,Centro de Investigación en Ciencia Aplicada y Tecnología Avanzada del IPN,Masculino,Distrito Federal
Herrera Cruz Mariana,Universidad Autónoma Benito Juarez de Oaxaca,Facultad de Medicina y Cirugía,Femenino,Oaxaca
Herrera Hernández Erik César,Centro de Ingeniería y Desarrollo Industrial,Posgrado Interinstitucional en Ciencia y Tecnología,Masculino,Campeche
Herrera Pérez Guillermo Manuel,"Centro de Investigación en Materiales Avanzados, S.C.",Depto. de Energías Renovables y Protección del Medio Ambiente,Masculino,Chihuahua
Herrera Ramírez Carlos Alonso,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Celaya,Masculino,Guanajuato
Hinojosa Arango Gustavo,Instituto Politécnico Nacional,Centro Interdisciplinario de Inv. para el Desarrollo..Ciidir,Masculino,Oaxaca
Holguin Cardona Sergio,Universidad Nacional Autónoma de México,Instituto de Matemáticas,Masculino,Oaxaca
Huerta Chávez Oliver Marcel,Tecnológico Nacional de México (DGEST),Tecnológico de Estudios Superiores de Ecatepec,Masculino,México
Huerta Heredia Ariana Arlene,Universidad Del Papaloapan,Campus Tuxtepec,Femenino,Oaxaca
Huerta Ocampo José Ángel,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Dirección de Tecnología de Alimentos de Origen Animal,Masculino,Sonora
Huesca Pérez Eduardo,"Centro de Investigación Científica y de Educación Superior de Ensenada, B.C.",Dirección de Estudios de Posgrado,Masculino,Baja California Sur
Ibarra Juárez Luis Arturo,"Instituto de Ecología, A.C.",Área de Vegetación y Flora,Masculino,Veracruz
Ibarra Rodríguez Juan Ramón,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Dirección de Tecnología de Alimentos de Origen Animal,Masculino,Sinaloa
Illescas Martínez Francisco Javier,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Toluca,Masculino,México
Iñiguez González Gerardo,"Centro de Investigación y Docencia Económicas, A.C.",Secretaría Académica,Masculino,Aguascalientes
Islas Villanueva Valentina,Universidad Del Mar,Universidad Del Mar,Femenino,Oaxaca
Jacobo Suarez Monica,"Centro de Investigación y Docencia Económicas, A.C.",Secretaría Académica,Femenino,Distrito Federal
Jaime Rivera Mario,"Centro de Investigaciones Biológicas del Noroeste, S.C.",Programa de Acuicultura y Biotecnología Marina,Masculino,Baja California Sur
Jaramillo Lopez Pablo,Universidad Nacional Autónoma de México,Centro de Investigaciones en Ecosistemas,Masculino,Michoacán
Jiménez Bandala Carlos Alberto,Universidad Del Papaloapan,Campus Tuxtepec,Masculino,Oaxaca
Jiménez Gutiérrez Laura Rebeca,Universidad Autónoma de Sinaloa,Escuela de Ciencias Del Mar,Femenino,Sinaloa
Jiménez Mancilla Nallely Patricia,Instituto Nacional de Investigaciones Nucleares,Gerencia de Aplicaciones Nucleares en la Salud,Femenino,México
Juárez De La Rosa Berenice Alejandra,Universidad de Guadalajara,Centro Universitario de Ciencias Exactas e Ingenierías,Femenino,Jalisco
