Nombre,Institución,Dependencia,Género,Entidad
Portillo Téllez María Del Carmen,Instituto Nacional de Enfermedades Respiratorias,Instituto Nacional de Enfermedades Respiratorias,Femenino,Distrito Federal
Quintero Hernandez Veronica,Benemérita Universidad Autónoma de Puebla,Instituto de Ciencias,Femenino,Puebla
Quiñones Muñoz Tannia Alexandra,Instituto Tecnológico Superior de Tierra Blanca,Instituto Tecnológico Superior de Tierra Blanca,Femenino,Veracruz
Quiroz Guzmán Eduardo,"Centro de Investigaciones Biológicas del Noroeste, S.C.",Programa de Acuicultura y Biotecnología Marina,Masculino,Baja California Sur
Ramírez García Telesforo,Universidad Nacional Autónoma de México,Centro Regional de Investigaciones Multidisciplinarias,Masculino,Morelos
Ramírez González Pedro Ezequiel,Universidad Autónoma de San Luis Potosí,Coordinación para la Innovación y Aplicación de la Ciencia,Masculino,San Luis Potosí
Ramírez Herrejón Juan Pablo,Universidad Autónoma de Querétaro,Facultad de Ciencias Naturales,Masculino,Querétaro
Ramírez López Dulce Karol,Universidad de Ciencias y Artes de Chiapas,Centro de Estudios Superiores México-Centroamérica,Femenino,Chiapas
Ramírez Mella Mónica,Colegio de Postgraduados,Campus Campeche,Femenino,Campeche
Ramírez Mendoza Abigail María Elena,Universidad Autónoma de Nuevo León,Facultad de Ingeniería Mecánica y Eléctrica,Femenino,Nuevo León
Ramírez Ponce Andrés,Universidad Nacional Autónoma de México,Instituto de Biología,Masculino,Tlaxcala
Ramírez Rivera Victor Manuel,"Centro de Investigación Científica de Yucatán, A.C.",Unidad de Ciencias del Agua,Masculino,Yucatán
Ramírez Ruano Mónica,Universidad Autónoma de Guerrero,Escuela de Ciencias Químicas y Biológicas,Femenino,Guerrero
Ramírez Salazar Eric Gustavo,Instituto Nacional de Medicina Genómica,Subdirección de Investigación Básica,Masculino,Distrito Federal
Ramírez Saldaña Maricela,Universidad de Sonora,Dirección de Investigación y Posgrado,Femenino,Sonora
Ramirez Suarez Angel,Secretaría de Economía,Centro Nacional de Metrología,Masculino,Querétaro
Ramos Delgado Norma Alicia De Jesús,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Nuevo León,Femenino,Nuevo León
Ramos González Rodolfo,Universidad Autónoma de Coahuila,Facultad de Ciencias Químicas-Unidad Saltillo,Masculino,Coahuila
Ramos Sánchez Guadalupe,Universidad Autónoma Metropolitana,Unidad Xochimilco,Masculino,Distrito Federal
Rangel Valdez Nelson,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Ciudad Madero,Masculino,Tamaulipas
Rao Wu Feng,Universidad Michoacana de San Nicolás de Hidalgo,Instituto de Investigaciones Metalúrgicas,Masculino,Michoacán
Rascón Estebané Caleb Antonio,Universidad Nacional Autónoma de México,Instituto de Investigaciones en Matemáticas Aplicadas..Iimas,Masculino,Distrito Federal
Rea Ángeles Patricia,Universidad Nacional Autónoma de México,Instituto de Investigaciones Sociales,Femenino,Distrito Federal
Rendón Romero Ivl Tonahtiuh,Benemérita Universidad Autónoma de Puebla,Instituto de Ciencias,Masculino,Puebla
Reta Castro Carolina,"CIATEQ, A.C. Centro de Tecnología Avanzada (CIATEQ)","CIATEQ, A.C. Centro de Tecnología Avanzada (CIATEQ)",Femenino,Hidalgo
Reyes Alvarado Ana Gisela,"Centro de Investigaciones Biológicas del Noroeste, S.C.",Programa de Acuicultura y Biotecnología Marina,Femenino,Baja California Sur
Reyes Domínguez Iván Alejandro,Universidad Autónoma de San Luis Potosí,Coordinación para la Innovación y Aplicación de la Ciencia,Masculino,San Luis Potosí
Reyes Huerta Hugo Eduardo,Universidad Autónoma de Aguascalientes,Centro de Artes y Humanidades,Masculino,Aguascalientes
Reyes Prieto Fabian,Instituto Nacional de Medicina Genómica,Instituto Nacional de Medicina Genómica,Masculino,Distrito Federal
Reyes Vidal Maria Yolanda,Centro de Investigación y Desarrollo Tecnológico en Electroquímica,Depto. de Electroquímica,Femenino,Querétaro
Reyes Villagrana Raúl Alberto,Universidad Autónoma de Chihuahua,Facultad de Ingeniería,Masculino,Chihuahua
Reynel Avila Hilda Elizabeth,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Aguascalientes,Femenino,Aguascalientes
Reynoso Cuevas Liliana,"Centro de Investigación en Materiales Avanzados, S.C.",Depto. de Energías Renovables y Protección del Medio Ambiente,Femenino,Durango
Riaño Umbarila Lidia,Universidad Nacional Autónoma de México,Instituto de Biotecnología,Femenino,Morelos
Rico Mancebo Del Castillo Yessica,"Instituto de Ecología, A.C.","Instituto de Ecología, A.C.",Femenino,Michoacán
Rieser  Antonio,"Centro de Investigación en Matemáticas, A.C.",CIMAT Guanajuato,Masculino,Guanajuato
Rios Silva Monica,Universidad de Colima,Facultad de Arquitectura,Femenino,Colima
Rivera Domínguez Jorge,Centro de Investigación y de Estudios Avanzados del IPN,Unidad Guadalajara,Masculino,Jalisco
Rivera Mancía Susana Yesenia,Instituto Nacional de Cardiología Dr. Ignacio Chávez,Instituto Nacional de Cardiología Dr. Ignacio Chávez,Femenino,Distrito Federal
Rivero Corona Michel Alejandro,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de La Laguna,Masculino,Coahuila
Robledo Silvestre Carolina,Centro de Investigación y Estudios Superiores en Antropología Social,Unidad - D.F.,Femenino,Distrito Federal
Robles Agudo Minerva,Universidad Tecnológica de Querétaro,Universidad Tecnológica de Querétaro,Femenino,Querétaro
Rocha García Celia,Universidad Michoacana de San Nicolás de Hidalgo,Escuela de Ciencias Agropecuarias,Femenino,Michoacán
Rodas Junco Beatriz Adriana,Universidad Autónoma de Yucatán,Facultad de Ingeniería Química,Femenino,Yucatán
Rodríguez Cortés Luisa Fernanda,Instituto de Investigaciones Dr. José María Luis Mora,Instituto de Investigaciones Dr. José María Luis Mora,Femenino,Distrito Federal
Rodríguez Marin Maria Luisa,Universidad Autónoma Del Estado de Hidalgo,Centro de Investigaciones Biológicas,Femenino,Hidalgo
Rodríguez Muñoz Norma Alejandra,"Centro de Investigación en Materiales Avanzados, S.C.",Depto. de Energías Renovables y Protección del Medio Ambiente,Femenino,Durango
Rodríguez Negrete Edgar Antonio,Instituto Politécnico Nacional,Centro Interdisciplinario de Inv. para el Desarrollo..Ciidir,Masculino,Sinaloa
Rodríguez Ortiz Luis Roberto,Universidad Nacional Autónoma de México,Coordinación de la Investigación Científica,Masculino,Querétaro
Rodriguez Pagaza Yolanda,Universidad Autónoma Agraria Antonio Narro,Subdirección de Asuntos de Postgrado,Femenino,Coahuila
Rodríguez Pérez Quetzalcoatl,Universidad Nacional Autónoma de México,Centro de Geociencias,Masculino,Querétaro
Rodríguez Santiago Maria Amparo,Universidad Autónoma Del Carmen,Facultad de Ciencias Pesqueras,Femenino,Campeche
Rojas Cortés Angelica,Centro de Investigación y Estudios Superiores en Antropología Social,Unidad Pacífico Sur,Femenino,Oaxaca
Rojas Domínguez Alfonso,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de León,Masculino,Guanajuato
Rojas Rajs María Soledad,Universidad Autónoma Metropolitana,Unidad Xochimilco,Femenino,Distrito Federal
Rojo Arreola Liliana,"Centro de Investigaciones Biológicas del Noroeste, S.C.",Programa de Acuicultura y Biotecnología Marina,Femenino,Baja California Sur
Roldán Cruz Edgar Iván,El Colegio Del Estado de Hidalgo,El Colegio Del Estado de Hidalgo,Masculino,Hidalgo
Román López Jesús,Universidad Nacional Autónoma de México,Instituto de Ciencias Nucleares,Masculino,Distrito Federal
Roman Padilla Lizbeth,"Centro de Investigación y Docencia Económicas, A.C.",Secretaría Académica,Femenino,Aguascalientes
Romero Estudillo Ivan Omar,Universidad Autónoma Del Estado de Morelos,Centro de Investigaciones Químicas,Masculino,Morelos
Romero Padilla Juan Manuel,"Centro de Investigación y Docencia Económicas, A.C.",Secretaría Académica,Masculino,Aguascalientes
Romero Tlalolini Maria De Los Angeles,Universidad Autónoma Benito Juarez de Oaxaca,Facultad de Medicina y Cirugía,Femenino,Oaxaca
Rös  Matthias,Instituto Politécnico Nacional,Centro Interdisciplinario de Inv. para el Desarrollo..Ciidir,Masculino,Oaxaca
Rosa  Carlo,Tecnológico Nacional de México (DGEST),Instituto Tecnológico Superior Cajeme,Masculino,Sonora
Rosales Lagarde Alejandra,Universidad Autónoma Del Estado de Hidalgo,Parque Científico y Tecnológico,Femenino,Hidalgo
Rosales Martínez Yetzi,"El Colegio de la Frontera Norte, A.C.",Dirección General Académica,Femenino,Baja California
Rosales Pérez Natalie,"El Colegio Mexiquense, A.C.","El Colegio Mexiquense, A.C.",Femenino,México
Rosas Madrigal Sandra,Instituto Nacional de Medicina Genómica,Instituto Nacional de Medicina Genómica,Femenino,Distrito Federal
Rubio Piña Jorge Alberto,Universidad Autónoma de Tlaxcala,Centro de Investigaciones en Genética y Ambiente,Masculino,Tlaxcala
Ruiz Esparza Garrido Ruth,Instituto Mexicano del Seguro Social (IMSS),Coordinación de Investigación en Salud,Femenino,Distrito Federal
Ruiz Gómez Miguel Angel,Centro de Investigación y de Estudios Avanzados del IPN,Unidad Mérida,Masculino,Yucatán
Ruiz Lau Nancy,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Tuxtla Gutiérrez,Femenino,Chiapas
Ruiz López Ubaldo,"Centro de Investigación Científica y de Educación Superior de Ensenada, B.C.","Centro de Investigación Científica y de Educación Superior de Ensenada, B.C.",Masculino,Baja California
Ruiz Luna Haideé,Universidad Autónoma de Zacatecas,Escuela de Ingeniería,Femenino,Zacatecas
Ruiz Mercado Ilse,Universidad Nacional Autónoma de México,Centro de Investigaciones en Ecosistemas,Femenino,Michoacán
Ruiz Pérez Víctor Iván,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Culiacán,Masculino,Sinaloa
Saavedra Sotelo Nancy Claudia,Universidad Autónoma de Sinaloa,Escuela de Ciencias Del Mar,Femenino,Sinaloa
Sadykov  Rustam,Centro de Investigación y de Estudios Avanzados del IPN,Dirección General,Masculino,Distrito Federal
Salas Muñoz Silvia,Instituto Nacional de Investigaciones Forestales y Agropecuarias,CIR del Norte-Centro (CHIH.),Femenino,Zacatecas
Salazar López Ricardo,Universidad Autónoma de Guerrero,Escuela Superior de Agricultura,Masculino,Guerrero
Salazar Torres Juan Alfonso,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Morelia,Masculino,Michoacán
Saldaña Fabregat José Ignacio,Instituto Nacional de Pediatría,Instituto Nacional de Pediatría,Masculino,Distrito Federal
Saldaña Garcés Rocio,"Corporación Mexicana de Investigación en Materiales, S.A. de C.V.",Dirección de Transferencia de Tecnología,Femenino,Coahuila
Saldivar Márquez Martha Belem,Universidad Autónoma Del Estado de México,Facultad de Ingeniería,Femenino,México
Salgado Cruz Ma. De La Paz,Instituto Politécnico Nacional,Escuela Nacional de Ciencias Biológicas,Femenino,Distrito Federal
Salgado Transito Ivan,"Centro de Investigaciones en Óptica, A.C.",Unidad Aguascalientes,Masculino,Aguascalientes
Sánchez Cárdenas Rebeca,Universidad Autónoma de Sinaloa,Escuela de Ciencias Del Mar,Femenino,Sinaloa
Sánchez Martínez Araceli,Universidad de Guadalajara,Centro Universitario de Ciencias Exactas e Ingenierías,Femenino,Jalisco
Sanchez Mondragon Joel,Instituto Mexicano del Petróleo,"Delegación Regional Norte ( Poza Rica, Ver. )",Masculino,Veracruz
Sánchez Morales Gabriela,Universidad Veracruzana,Instituto de Investigaciones Historico-Sociales,Femenino,Veracruz
Sanchez Ocampo Paul Mauricio,Universidad Del Papaloapan,Campus Tuxtepec,Masculino,Oaxaca
Sánchez Osorio Ever,Centro de Investigación y Asistencia en Tecnología y Diseño del Edo. de Jalisco,División de Biotecnología,Masculino,Guerrero
Sánchez Rangel Diana,"Instituto de Ecología, A.C.",Área de Vegetación y Flora,Femenino,Veracruz
Sánchez Vázquez Virginia Ivonne,Centro de Investigación y Estudios Superiores en Antropología Social,Unidad Sureste,Femenino,Chiapas
Sandoval Castro Eduardo,Instituto Politécnico Nacional,Centro Interdisciplinario de Inv. para el Desarrollo..Ciidir,Masculino,Sinaloa
Sanginés De Castro Roberto,Universidad Nacional Autónoma de México,Centro de Nanociencias y Nanotecnología,Masculino,Baja California
Sanhouse García Antonio Jesus,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Culiacán,Masculino,Sinaloa
Santiago Del Angel Elizabeth,Universidad Nacional Autónoma de México,Instituto de Matemáticas,Femenino,Querétaro
Santiago Ibáñez Daniela Patricia,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Oaxaca,Femenino,Oaxaca
Sarria Guzmán Yohanna Del Carmen,Universidad Del Mar,Universidad Del Mar,Femenino,Oaxaca
Saucedo Yáñez Alma Leticia,Universidad Autónoma de Nuevo León,Facultad de Ingeniería Mecánica y Eléctrica,Femenino,Nuevo León
Segovia González Carlos,Universidad Nacional Autónoma de México,Instituto de Matemáticas,Masculino,Oaxaca
Segura Chama Pedro David,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,Masculino,Distrito Federal
Sepúlveda Robles Omar Alejandro,Universidad Nacional Autónoma de México,Instituto de Investigaciones Biomédicas,Masculino,Distrito Federal
Serrano Posada Hugo Javier,Universidad de Colima,Coordinación de Investigación Científica,Masculino,Colima
Silva Miranda Mayra,Universidad Nacional Autónoma de México,Instituto de Investigaciones Biomédicas,Femenino,Distrito Federal
Simón Rodríguez Jorge,Universidad Autónoma de Zacatecas,Unidad Académica de Ingeniería Eléctrica,Masculino,Zacatecas
Sleman Valdés Fanny,Universidad Nacional Autónoma de México,Instituto de Investigaciones Sociales,Femenino,Distrito Federal
Solano Lamphar Héctor Antonio,Instituto de Investigaciones Dr. José María Luis Mora,Instituto de Investigaciones Dr. José María Luis Mora,Masculino,Distrito Federal
Solís Montero Lislie,El Colegio de la Frontera Sur,Unidad Tapachula,Femenino,Chiapas
Solórzano Mancera Pedro Antonio Ricardo Martín,Universidad Nacional Autónoma de México,Instituto de Matemáticas,Masculino,Oaxaca
Soria Arguello Gustavo,Centro de Investigación en Química Aplicada,Depto. de Procesos de Polimerización,Masculino,Coahuila
Soria Barreto Miriam,El Colegio de la Frontera Sur,Unidad San Cristóbal de las Casas,Femenino,Chiapas
Soriano Melgar Lluvia De Abril Alexandra,Centro de Investigación en Química Aplicada,Depto. de Plásticos en la Agricultura,Femenino,Coahuila
Sosa Herrera Jesus Antonio,"Centro de Investigación en Geografía y Geomática Ing. Jorge L. Tamayo, A.C.","Centro de Investigación en Geografía y Geomática Ing. Jorge L. Tamayo, A.C.",Masculino,Aguascalientes
Sosa Lopez Jose Roberto,Instituto Politécnico Nacional,Centro Interdisciplinario de Inv. para el Desarrollo..Ciidir,Masculino,Oaxaca
Sosa Montemayor Fernando,"Centro de Investigación en Materiales Avanzados, S.C.",Depto. de Energías Renovables y Protección del Medio Ambiente,Masculino,Durango
Soto Castro Delia,Instituto Politécnico Nacional,Centro Interdisciplinario de Inv. para el Desarrollo..Ciidir,Femenino,Oaxaca
Soto Castruita Enrique,Instituto Mexicano del Petróleo,Dirección de Investigación y Posgrado,Masculino,Hidalgo
St Thomas  Claude,Centro de Investigación en Química Aplicada,Depto. de Procesos de Polimerización,Masculino,Coahuila
Strupiechonski  Elodie,Centro de Investigación y de Estudios Avanzados del IPN,Unidad Querétaro,Femenino,Querétaro
Suarez Quezada Victor Manuel,Universidad Autónoma Metropolitana,División de Ciencias Básicas e Ingeniería. Iztapalapa,Masculino,Distrito Federal
Sun  Guohua,Instituto Politécnico Nacional,Centro de Investigación en Computacion,Femenino,Distrito Federal
Talledos Sánchez Edgar,"El Colegio de San Luis, A.C.","El Colegio de San Luis, A.C.",Masculino,San Luis Potosí
Tamayo Y Ortiz Marcela,Instituto Nacional de Salud Pública,Instituto Nacional de Salud Pública,Femenino,Morelos
Tapia Guerrero Luis Arturo,Centro Interdisciplinario de Inv. para el Desarrollo..Ciidir,,Masculino,Oaxaca
Tapia Padilla Gabriela,"Centro de Investigación en Materiales Avanzados, S.C.",Depto. de Energías Renovables y Protección del Medio Ambiente,Femenino,Chihuahua
Tellez Avila Eric Sadit,Fondo de Información y Documentación para la Industria,Fondo de Información y Documentación para la Industria,Masculino,Aguascalientes
Téllez Velázquez Arturo,Universidad Tecnológica de la Mixteca,Division de Estudios de Posgrado,Masculino,Oaxaca
Tello De La Torre Claudia,Instituto de Investigaciones Dr. José María Luis Mora,Instituto de Investigaciones Dr. José María Luis Mora,Femenino,Distrito Federal
Tiwari  Dhirendra Kumar,"El Colegio de Michoacán, A.C.",LADIPA,Masculino,Michoacán
Toledo Solano Miller,Benemérita Universidad Autónoma de Puebla,Facultad de Ciencias Físico-Matemáticas,Masculino,Puebla
Torres Arellano Mauricio,Centro de Ingeniería y Desarrollo Industrial,Dirección de Investigación y Posgrado,Masculino,Querétaro
Torres Irineo Edgar,Universidad Nacional Autónoma de México,Facultad de Ciencias,Masculino,Yucatán
Torres Machorro Ana Lilia,Instituto Nacional de Enfermedades Respiratorias,Dirección de Investigación,Femenino,Distrito Federal
Torres Ortiz Flor Lizeth,Universidad Nacional Autónoma de México,Instituto de Ingeniería,Femenino,Distrito Federal
Torres Poveda Kirvis Janneth,Instituto Nacional de Salud Pública,Instituto Nacional de Salud Pública,Femenino,Morelos
Torres Rivera Anayetzin,Universidad Autónoma Benito Juarez de Oaxaca,Facultad de Medicina y Cirugía,Femenino,Oaxaca
Tovar Pérez Erik  Gustavo,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Tepic,Masculino,Nayarit
Trejo Arroyo Danna Lizeth,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Chetumal,Femenino,Quintana Roo
Trejo Hernández Laura,Universidad Nacional Autónoma de México,Instituto de Biología,Femenino,Tlaxcala
Triana Sánchez Jorge Luis,Universidad Autónoma de Guerrero,Facultad de Ingeniería,Masculino,Guerrero
Troncoso Romero David Ernesto,Instituto Politécnico Nacional,Escuela Superior de Cómputo,Masculino,Distrito Federal
Tuxpan Vargas Jose,"Instituto Potosino de Investigación Cientifica y Tecnológica, A.C.",Depto. de Biología Molecular,Masculino,San Luis Potosí
Uh Zapata Miguel Angel,"Centro de Investigación en Matemáticas, A.C.",CIMAT Mérida,Masculino,Yucatán
Unger Saldaña Karla,Instituto Nacional de Cancerología,Instituto Nacional de Cancerología,Femenino,Distrito Federal
Valdez Mondragón Alejandro,Universidad Nacional Autónoma de México,Instituto de Biología,Masculino,Tlaxcala
Valdez Morales Eduardo Emmanuel,Universidad Autónoma de Aguascalientes,Centro de Ciencias Básicas,Masculino,Aguascalientes
Valdez Morales Maribel,Instituto Politécnico Nacional,Centro Interdisciplinario de Inv. para el Desarrollo..Ciidir,Femenino,Sinaloa
Valencia Vázquez Roberto,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Durango,Masculino,Durango
Valenzuela Muñiz Ana María,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Cancún,Femenino,Quintana Roo
Valenzuela Quiñonez Fausto,"Centro de Investigaciones Biológicas del Noroeste, S.C.",Programa de Acuicultura y Biotecnología Marina,Masculino,Baja California Sur
Valenzuela Soto José Humberto,Centro de Investigación en Química Aplicada,Depto. de Plásticos en la Agricultura,Masculino,Coahuila
Valle De Bethencourt Paula,Universidad Autónoma de Guerrero,Facultad de Ingeniería,Femenino,Guerrero
Vallejo Cardona Alba Adriana,Centro de Investigación y Asistencia en Tecnología y Diseño del Edo. de Jalisco,Centro de Investigación y Asistencia en Tecnología y Diseño del Edo. de Jalisco,Femenino,Jalisco
Vallejo Pérez Moisés Roberto,Universidad Autónoma de San Luis Potosí,Coordinación para la Innovación y Aplicación de la Ciencia,Masculino,San Luis Potosí
Vargas Bracamontes Dulce María,Universidad de Colima,Facultad de Arquitectura,Femenino,Colima
Vargas Hernandez Diana,Universidad de Sonora,Dirección de Investigación y Posgrado,Femenino,Sonora
Vargas Obieta Carlos,"Centro de Investigación en Matemáticas, A.C.",CIMAT Guanajuato,Masculino,Guanajuato
Vargas Rodríguez Yalma Luisa,Universidad de Guadalajara,Centro Universitario de la Costa Sur,Femenino,Jalisco
Vásquez Garzón Verónica Rocío,Universidad Autónoma Benito Juarez de Oaxaca,Facultad de Medicina y Cirugía,Femenino,Oaxaca
Vásquez Pérez José Manuel,Universidad Autónoma Del Estado de Hidalgo,Centro de Investigaciones Biológicas,Masculino,Hidalgo
Vázquez Elorza Ariel,Centro de Investigación y Asistencia en Tecnología y Diseño del Edo. de Jalisco,División de Biotecnología,Masculino,Guerrero
Vázquez Euán Roberto Carlos,Universidad de Sonora,Dirección de Investigación y Posgrado,Masculino,Sonora
Vázquez Gómez Octavio,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Morelia,Masculino,Michoacán
Vazquez Rosas Ricardo,Universidad Michoacana de San Nicolás de Hidalgo,Instituto de Investigaciones Metalúrgicas,Masculino,Michoacán
Vázquez Sánchez Monserrat,Instituto Politécnico Nacional,Centro Interdisciplinario de Inv. para el Desarrollo..Ciidir,Femenino,Michoacán
Vázquez Santacruz Eduardo,Universidad Nacional Autónoma de México,Facultad de Medicina,Masculino,Distrito Federal
Vega Diaz Sofia Magdalena,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Celaya,Femenino,Guanajuato
Velasco Alvarez Jonas,"Centro de Investigación en Matemáticas, A.C.",CIMAT Aguascalientes,Masculino,Aguascalientes
Velasco Alvarez Nancy,Centro de Investigación y Desarrollo Tecnológico en Electroquímica,Depto. de Electroquímica,Femenino,Querétaro
Velasco Estudillo Monica,"Centro de Investigación en Geografía y Geomática Ing. Jorge L. Tamayo, A.C.","Centro de Investigación en Geografía y Geomática Ing. Jorge L. Tamayo, A.C.",Femenino,Aguascalientes
Velazquez Zapata Juan Alberto,"El Colegio de San Luis, A.C.","El Colegio de San Luis, A.C.",Masculino,San Luis Potosí
Vélez Cordero Juan Rodrigo,Universidad Autónoma de San Luis Potosí,Coordinación para la Innovación y Aplicación de la Ciencia,Masculino,San Luis Potosí
Venegas Reyes Eduardo,"Centro de Investigación en Materiales Avanzados, S.C.",Depto. de Energías Renovables y Protección del Medio Ambiente,Masculino,Durango
Venegas Venegas José Apolonio,Universidad Autónoma de Chiapas,Universidad Autónoma de Chiapas,Masculino,Chiapas
Ventura Aguilar Rosa Isela,Instituto Politécnico Nacional,Centro de Desarrollo de Productos Bióticos,Femenino,Morelos
Vera Ku Blanca Marina,"Centro de Investigación Científica de Yucatán, A.C.",Dirección General,Femenino,Yucatán
Vera Reyes Ileana,Centro de Investigación en Química Aplicada,Depto. de Plásticos en la Agricultura,Femenino,Coahuila
Villafán Bernal José Rafael,Universidad Autónoma de Aguascalientes,Centro de Ciencias Básicas,Masculino,Aguascalientes
Villalobos Escobar Gina Paola,"Centro de Investigación Científica y de Educación Superior de Ensenada, B.C.","Centro de Investigación Científica y de Educación Superior de Ensenada, B.C.",Femenino,Baja California
Villalobos Rodríguez Laura Alicia,Universidad Autónoma de Campeche,Centro de Estudios de Desarrollo Sustentable y de Aprovechamiento,Femenino,Campeche
Villanueva Alonzo Hernán De Jesús,Universidad Autónoma de Yucatán,Centro de Investigaciones Regionales Dr. Hideyo Noguchi,Masculino,Yucatán
Villanueva Maldonado Juvenal,Universidad Autónoma de Zacatecas,Unidad Académica de Ingeniería Eléctrica,Masculino,Zacatecas
Villanueva Sierra Jose Juan,Universidad Autónoma de Tamaulipas,Unidad Académica Multidisciplinaria Reynosa-Rodhe,Masculino,Tamaulipas
Villar Luna Edgar,Instituto Politécnico Nacional,Centro Interdisciplinario de Inv. para el Desarrollo..Ciidir,Masculino,Michoacán
Villarreal Marroquín María Guadalupe,"Centro de Investigación en Matemáticas, A.C.",CIMAT Monterrey,Femenino,Nuevo León
Villela Y Mendoza Almendra,"Centro de Investigación Científica de Yucatán, A.C.",Unidad de Ciencias del Agua,Femenino,Quintana Roo
Villicaña Torres María Claudia,Universidad Autónoma de Yucatán,Facultad de Ingeniería Química,Femenino,Yucatán
Wilson Herrán Mario César,"Centro de Investigación Científica y de Educación Superior de Ensenada, B.C.",Dirección de Estudios de Posgrado,Masculino,Baja California
Wolf  Sonja,"Centro de Investigación y Docencia Económicas, A.C.",Secretaría Académica,Femenino,Aguascalientes
Yanez Soto Bernardo,Universidad Autónoma de San Luis Potosí,Coordinación para la Innovación y Aplicación de la Ciencia,Masculino,San Luis Potosí
Yoldi Negrete María,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,Femenino,Distrito Federal
Zambrano Rengel Griselda Elena,Universidad Autónoma de Campeche,Centro de Estudios de Desarrollo Sustentable y de Aprovechamiento,Femenino,Campeche
Zamora Vilchis Itzel,Universidad de Quintana Roo,División de Ciencias e Ingenierías,Femenino,Quintana Roo
Zamudio Meza Horacio,Instituto Nacional de Cancerología,Instituto Nacional de Cancerología,Masculino,Distrito Federal
Zapata González Iván De Jesús,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Tijuana,Masculino,Baja California
